scenarioId,scenario,region,distanceClass,osrmCandidateCount,timeCase,departureUtc,analysisMode,fastestRouteId,shadeRouteId,sameRoute,distanceKm,fastestMinutes,shadeMinutes,detourMinutes,fastestDirectWhM2,shadeDirectWhM2,avoidedIncidentWhM2,directSolarReductionPct,bestAvailableRouteId,bestAvailableDirectWhM2,bestAvailableReductionPct,shadeConfirmedPct,shadeUncertainPct,sunlitTimePct,sceneCoveragePct,coolingMinWh,coolingCentralWh,coolingMaxWh,bestCoolingMinWh,bestCoolingCentralWh,bestCoolingMaxWh,packRequests,packBytes
SO-S,Atlanta → Decatur,south,short,4,Summer 13:00,2026-06-21T17:00:00.000Z,scene,"route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750","route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750",true,10.061,13.633333333333333,13.633333333333333,0,183.00530461354128,183.00530461354128,0,0,"route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750",183.00530461354128,0,12.152209242790537,0.5036517984532553,87.84779075720947,100,0,0,0,0,0,0,2,6120568
SO-S,Atlanta → Decatur,south,short,4,Summer 18:00,2026-06-21T22:00:00.000Z,scene,"route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750","route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750",true,10.061,13.633333333333333,13.633333333333333,0,83.68863228480028,83.68863228480028,0,0,"route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750",83.68863228480028,0,12.62726032863401,4.647306265889667,87.37273967136599,100,0,0,0,0,0,0,3,9648402
SO-S,Atlanta → Decatur,south,short,4,Winter 13:00,2026-12-21T18:00:00.000Z,scene,"route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750","route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750",true,10.061,13.633333333333333,13.633333333333333,0,92.98073653821243,92.98073653821243,0,0,"route-10061.00000-818.00000--84.38751-33.74885--84.29607-33.77496--84.3875,33.7489;-84.3810,33.7544;-84.3712,33.7543;-84.3614,33.7552;-84.3528,33.7578;-84.3441,33.7613;-84.3344,33.7624;-84.3250,33.7603;-84.3167,33.7647;-84.3072,33.7667;-84.2992,33.7704;-84.2961,33.7750",92.98073653821243,0,12.152209242790537,4.746900667250282,87.84779075720947,100,0,0,0,0,0,0,3,8251735
SO-M,Dallas → Fort Worth,south,medium,4,Summer 08:00,2026-06-21T13:00:00.000Z,scene,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555","route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",true,51.6353,40,40,0,183.77349143761865,183.77349143761865,0,0,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",183.77349143761865,0,1.394614039399214,0.1014386250128799,98.60538596060078,100,0,0,0,0,0,0,12,33652555
SO-M,Dallas → Fort Worth,south,medium,4,Summer 13:00,2026-06-21T18:00:00.000Z,scene,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555","route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",true,51.6353,40,40,0,608.4688530696864,608.4688530696864,0,0,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",608.4688530696864,0,1.394614039399214,0,98.60538596060078,100,0,0,0,0,0,0,5,12986288
SO-M,Dallas → Fort Worth,south,medium,4,Summer 18:00,2026-06-21T23:00:00.000Z,scene,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555","route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",true,51.6353,40,40,0,226.62183490946825,226.62183490946825,0,0,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",226.62183490946825,0,1.5287827319229534,2.241784138058271,98.47121726807704,100,0,0,0,0,0,0,22,60423893
SO-M,Dallas → Fort Worth,south,medium,4,Winter 13:00,2026-12-21T19:00:00.000Z,scene,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555","route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",true,51.6353,40,40,0,305.46176323396656,305.46176323396656,0,0,"route-51635.30000-2399.80000--96.79675-32.77594--97.33079-32.75550--96.7968,32.7759;-96.8396,32.7663;-96.8885,32.7679;-96.9383,32.7641;-96.9877,32.7588;-97.0378,32.7597;-97.0879,32.7600;-97.1380,32.7600;-97.1881,32.7599;-97.2381,32.7608;-97.2856,32.7499;-97.3308,32.7555",305.46176323396656,0,1.394614039399214,0,98.60538596060078,100,0,0,0,0,0,0,5,12986288
SO-L,Atlanta → Macon,south,long,3,Summer 08:00,2026-06-21T12:00:00.000Z,scene,"route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407","route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407",true,134.4699,97.35,97.35,0,565.8456104515303,565.8456104515303,0,0,"route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407",565.8456104515303,0,0,0,100,100,0,0,0,0,0,0,8,41153727
SO-L,Atlanta → Macon,south,long,3,Summer 13:00,2026-06-21T17:00:00.000Z,scene,"route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407","route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407",true,134.4699,97.35,97.35,0,1490.1667574931791,1490.1667574931791,0,0,"route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407",1490.1667574931791,0,0,0,100,100,0,0,0,0,0,0,8,41153727
SO-L,Atlanta → Macon,south,long,3,Summer 18:00,2026-06-21T22:00:00.000Z,scene,"route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407","route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407",true,134.4699,97.35,97.35,0,455.47836399400387,455.47836399400387,0,0,"route-134469.90000-5841.10000--84.38751-33.74885--83.63239-32.84071--84.3875,33.7489;-84.3981,33.6470;-84.3305,33.5717;-84.2296,33.5040;-84.1626,33.4122;-84.1164,33.3113;-84.0640,33.2115;-84.0037,33.1166;-83.9236,33.0361;-83.8230,32.9681;-83.7107,32.9196;-83.6324,32.8407",455.47836399400387,0,0,0.47239971404919606,100,100,0,0,0,0,0,0,10,45212577
